K56.6,C41.4,{}
K56.6,K66.0,{}
K56.6,I89.8,{}
I50.X,I10.X,{}
D54.9,E66.9,{}
B25.9,I10.X,{}
D35.0,I10.X,{}
D35.0,E26.0,{}
D35.0,C75.9,{}
N03.4,L93.0,{}
N00.5,H33.0,{}
N92.5,N92.6,{}
N92.5,N92.0,{}
J06.0,Z00.5,{}
M47.2,G45.0,{}
K66.8,K26.9,{}
Z93.1,K63.1,{}
N93.8,I10.X,{}
N93.8,E66.9,{}
N93.8,D62.X,{}
P95.X,O82.2,{}
C67.9,I10.X,{}
N15.9,I10.X,{}
S39.0,D58.2,{}
H53.8,Z00.5,{}
N63.X,Z00.5,{}
S27.2,S21.1,{}
H47.1,I10.X,{}
B95.7,E66.9,{}
B95.7,G72.3,{}
I31.2,I50.9,{}
I31.2,I10.X,{}
I66.0,I65.3,{}
D50.0,D72.8,{}
D50.0,M93.9,{}
D50.0,I79.2,{}
E27.3,E66.9,{}
A18.2,A18.0,{}
J12.1,Z94.2,{}
I50.9,Q25.0,{}
I50.9,E66.9,{}
I50.9,I10.X,{}
I50.9,O13.X,{}
I50.9,I46.5,{}
I50.9,I11.9,{}
I50.9,J37.0,{}
I50.9,H40.9,{}
I50.9,E10.X,{}
I50.9,F43.0,{}
I50.9,S07.1,{}
I50.9,N00.9,{}
D30.0,I10.X,{}
D30.0,N06.7,{}
N20.1,I10.X,{}
K29.0,N08.8,{}
C38.2,I10.X,{}
J15.8,I11.9,{}
D72.8,M93.9,{}
H91.1,I10.X,{}
O13.X,O11.X,{}
Y83.4,Q25.0,{}
I63.2,I10.X,{}
E12.6,I10.X,{}
N85.0,Z96.1,{}
N87.9,Z53.9,{}
Q25.0,I10.X,{}
Q25.0,T88.7,{}
E28.3,I10.X,{}
I87.8,Q10.5,{}
Y41.5,B01.9,{}
T65.9,M93.8,{}
S72.0,I10.X,{}
N02.1,I10.X,{}
N02.1,E66.9,{}
I10.X,E66.9,{}
I10.X,N14.4,{}
I10.X,N05.X,{}
I10.X,N00.3,{}
I10.X,Z00.5,{}
I10.X,E26.0,{}
I10.X,I11.9,{}
I10.X,N00.9,{}
I10.X,N04.X,{}
I10.X,B01.8,{}
I10.X,N04.8,{}
I10.X,N20.2,{}
I10.X,M17.9,{}
I10.X,Z95.2I,{}
I10.X,N08.1,{}
I10.X,M86.0,{}
I10.X,Z96.6,{}
D69.1,H54.4,{}
Q61.2,K70.0,{}
Q61.2,D63.0,{}
I73.0,M34.1,{}
R32.X,I11.9,{}
B37.3,Z00.5,{}
D72.9,K63.3,{}
N04.4,L93.0,{}
F12.2,Z00.5,{}
I11.9,N04.X,{}
I11.9,E66.9,{}
K63.1,F05.9,{}
M93.9,B02.8,{}
K76.9,E66.9,{}
Z00.5,E66.9,{}
Z00.5,N76.0,{}
M08.3,N00.3,{}
K66.0,I89.8,{}
E79.8,E66.9,{}
N92.0,N92.6,{}
C49.3,C49.4,{}
